전철역명,전철명명(영문),호선,외부코드
성환,Seonghwan,01호선,P166
평택,Pyeongtaek,01호선,P165
구로,Guro,01호선,141
남영,Namyeong,01호선,134
동묘앞,Dongmyo,01호선,127
안양,Anyang,01호선,P147
부천,Bucheon,01호선,148
명학,Myeonghak,01호선,P148
회기,Hoegi,01호선,123
동암,Dongam,01호선,154
탕정,Tangjeong,01호선,P173
덕계,Deokgye,01호선,106
동두천,Dongducheon,01호선,101
청량리,Cheongnyangni,01호선,124
제기동,Jegi-dong,01호선,125
신설동,Sinseol-dong,01호선,126
동대문,Dongdaemun,01호선,128
종로5가,Jongno 5(o)-ga,01호선,129
종로3가,Jongno 3(sam)-ga,01호선,130
금정,Geumjeong,01호선,P149
서동탄,Seodongtan,01호선,P157-1
개봉,Gaebong,01호선,143
전곡,Jeongok,01호선,100-2
소요산,Soyosan,01호선,100
동두천중앙,Dongducheon jungang,01호선,103
간석,Ganseok,01호선,155
종각,Jonggak,01호선,131
시청,City Hall,01호선,132
서울역,Seoul Station,01호선,133
독산,Doksan,01호선,P143
소사,Sosa,01호선,147
인천,Incheon,01호선,161
송내,Songnae,01호선,150
화서,Hwaseo,01호선,P154
군포,Gunpo,01호선,P150
방학,Banghak,01호선,115
덕정,Deokjeong,01호선,105
보산,Bosan,01호선,102
온수,Onsu,01호선,145
청산,Cheongsan,01호선,100-1
가능,Ganeung,01호선,109
부개,Bugae,01호선,151
오류동,Oryu-dong,01호선,144
직산,Jiksan,01호선,P167
관악,Gwanak,01호선,P146
신이문,Sinimun,01호선,121
천안,Cheonan,01호선,P169
세마,Sema,01호선,P158
진위,Jinwi,01호선,P161
도봉산,Dobongsan,01호선,113
구일,Guil,01호선,142
서정리,Seojeong-ri,01호선,P163
의왕,Uiwang,01호선,P152
녹천,Nokcheon,01호선,117
망월사,Mangwolsa,01호선,112
당정,Dangjeong,01호선,P151
회룡,Hoeryong,01호선,111
온양온천,Onyang oncheon,01호선,P176
도봉,Dobong,01호선,114
연천,Yeoncheon,01호선,100-3
의정부,Uijeongbu,01호선,110
녹양,Nogyang,01호선,108
석계,Seokgye,01호선,120
영등포,Yeongdeungpo,01호선,139
쌍용,Ssangyong,01호선,P171
양주,Yangju,01호선,107
배방,Baebang,01호선,P174
지행,Jihaeng,01호선,104
송탄,Songtan,01호선,P162
두정,Dujeong,01호선,P168
신길,Singil,01호선,138
월계,Wolgye,01호선,118
광운대,Kwangwoon Univ.,01호선,119
외대앞,Hankuk Univ. of Foreign Studies,01호선,122
노량진,Noryangjin,01호선,136
용산,Yongsan,01호선,135
주안,Juan,01호선,156
아산,Asan,01호선,P172
대방,Daebang,01호선,137
봉명,Bongmyeong,01호선,P170
평택지제,PyeongtaekJije,01호선,P164
수원,Suwon,01호선,P155
성균관대,Sungkyunkwan Univ.,01호선,P153
석수,Seoksu,01호선,P145
금천구청,Geumcheon-Gu Office,01호선,P144
가산디지털단지,Gasan Digital Complex,01호선,P142
세류,Seryu,01호선,P156
병점,Byeongjeom,01호선,P157
오산대,Osan College,01호선,P159
광명,Gwangmyeong,01호선,P144-1
신창,Sinchang,01호선,P177
창동,Chang-dong,01호선,116
역곡,Yeokgok,01호선,146
도화,Dohwa,01호선,157
중동,Jung-dong,01호선,149
오산,Osan,01호선,P160
도원,Dowon,01호선,159
동인천,Dongincheon,01호선,160
제물포,Jemulpo,01호선,158
신도림,Sindorim,01호선,140
백운,Baegun,01호선,153
부평,Bupyeong,01호선,152
잠실새내,Jamsilsaenae,02호선,217
대림,Daerim,02호선,233
서울대입구,Seoul Nat`l Univ.,02호선,228
한양대,Hanyang Univ.,02호선,209
신도림,Sindorim,02호선,234
아현,Ahyeon,02호선,242
봉천,Bongcheon,02호선,229
충정로,Chungjeongno,02호선,243
용답,Yongdap,02호선,211-1
문래,Mullae,02호선,235
신림,Sillim,02호선,230
종합운동장,Sports Complex,02호선,218
삼성,Samseong,02호선,219
신대방,Sindaebang,02호선,231
영등포구청,Yeongdeungpo-gu Office,02호선,236
양천구청,Yangcheon-gu Office,02호선,234-2
을지로4가,Euljiro 4(sa)-ga,02호선,204
뚝섬,Ttukseom,02호선,210
신답,Sindap,02호선,211-2
을지로입구,Euljiro 1(il)-ga,02호선,202
사당,Sadang,02호선,226
을지로3가,Euljiro 3(sam)-ga,02호선,203
성수,Seongsu,02호선,211
건대입구,Konkuk Univ.,02호선,212
당산,Dangsan,02호선,237
신정네거리,Sinjeongnegeori,02호선,234-3
구의,Guui,02호선,213
합정,Hapjeong,02호선,238
용두,Yongdu,02호선,211-3
구로디지털단지,Guro Digital Complex,02호선,232
홍대입구,Hongik Univ.,02호선,239
신촌,Sinchon,02호선,240
이대,Ewha Womans Univ.,02호선,241
신설동,Sinseol-dong,02호선,211-4
도림천,Dorimcheon,02호선,234-1
까치산,Kkachisan,02호선,234-4
시청,City Hall,02호선,201
동대문역사문화공원,Dongdaemun History Culture Park,02호선,205
신당,Sindang,02호선,206
상왕십리,Sangwangsimni,02호선,207
강변,Gangbyeon,02호선,214
잠실나루,Jamsillaru,02호선,215
잠실,Jamsil,02호선,216
선릉,Seolleung,02호선,220
역삼,Yeoksam,02호선,221
강남,Gangnam,02호선,222
교대,Seoul Nat`l Univ. of Education,02호선,223
서초,Seocho,02호선,224
방배,Bangbae,02호선,225
낙성대,Nakseongdae,02호선,227
왕십리,Wangsimni,02호선,208
경찰병원,National Police Hospital,03호선,351
안국,Anguk,03호선,328
학여울,Hangnyeoul,03호선,346
원당,Wondang,03호선,316
주엽,Juyeop,03호선,310
매봉,Maebong,03호선,343
옥수,Oksu,03호선,335
삼송,Samsong,03호선,318
금호,Geumho,03호선,334
마두,Madu,03호선,312
원흥,Wonheung,03호선,317
백석,Baekseok,03호선,313
양재,Yangjae,03호선,342
대곡,Daegok,03호선,314
가락시장,Garak Market,03호선,350
수서,Suseo,03호선,349
정발산,Jeongbalsan,03호선,311
오금,Ogeum,03호선,352
을지로3가,Euljiro 3(sam)-ga,03호선,330
화정,Hwajeong,03호선,315
일원,Irwon,03호선,348
남부터미널,Nambu Bus Terminal,03호선,341
종로3가,Jongno 3(sam)-ga,03호선,329
도곡,Dogok,03호선,344
경복궁,Gyeongbokgung,03호선,327
신사,Sinsa,03호선,337
독립문,Dongnimmun,03호선,326
동대입구,Dongguk Univ.,03호선,332
대치,Daechi,03호선,345
무악재,Muakjae,03호선,325
교대,Seoul Nat`l Univ. of Education,03호선,340
홍제,Hongje,03호선,324
고속터미널,Express Bus Terminal,03호선,339
녹번,Nokbeon,03호선,323
불광,Bulgwang,03호선,322
연신내,Yeonsinnae,03호선,321
대화,Daehwa,03호선,309
구파발,Gupabal,03호선,320
약수,Yaksu,03호선,333
지축,Jichuk,03호선,319
압구정,Apgujeong,03호선,336
충무로,Chungmuro,03호선,331
잠원,Jamwon,03호선,338
대청,Daecheong,03호선,347
반월,Banwol,04호선,447
상록수,Sangnoksu,04호선,448
한대앞,Hanyang Univ. at Ansan,04호선,449
동작,Dongjak,04호선,431
노원,Nowon,04호선,411
신용산,Sinyongsan,04호선,429
금정,Geumjeong,04호선,443
길음,Gireum,04호선,417
삼각지,Samgakji,04호선,428
동대문,Dongdaemun,04호선,421
안산,Ansan,04호선,453
범계,Beomgye,04호선,442
고잔,Gojan,04호선,451
경마공원,Seoul Racecourse Park,04호선,436
대공원,Seoul Grand Park,04호선,437
인덕원,Indeogwon,04호선,440
충무로,Chungmuro,04호선,423
정부과천청사,Government Complex Gwacheon,04호선,439
미아사거리,Miasageori,04호선,416
한성대입구,Hansung Univ.,04호선,419
중앙,Jungang,04호선,450
산본,Sanbon,04호선,444
과천,Gwacheon,04호선,438
수유,Suyu,04호선,414
이촌,Ichon,04호선,430
평촌,Pyeongchon,04호선,441
수리산,Surisan,04호선,445
혜화,Hyehwa,04호선,420
신길온천,Neunggil,04호선,454
대야미,Daeyami,04호선,446
서울역,Seoul Station,04호선,426
사당,Sadang,04호선,433
남태령,Namtaeryeong,04호선,434
정왕,Jeongwang,04호선,455
성신여대입구,Sungshin Women`s Univ.,04호선,418
쌍문,Ssangmun,04호선,413
상계,Sanggye,04호선,410
불암산,Buramsan,04호선,409
별내별가람,Byeollae Byeolgaram,04호선,408
오남,Onam,04호선,406
진접,Jinjeop,04호선,405
명동,Myeong-dong,04호선,424
창동,Chang-dong,04호선,412
동대문역사문화공원,Dongdaemun History Culture Park,04호선,422
숙대입구,Sookmyung Women`s Univ.,04호선,427
초지,Choji,04호선,452
미아,Mia,04호선,415
총신대입구,Chongshin Univ.,04호선,432
회현,Hoehyeon,04호선,425
선바위,Seonbawi,04호선,435
오이도,Oido,04호선,456
강일,Gangil,05호선,554
아차산,Achasan,05호선,545
여의도,Yeouido,05호선,526
여의나루,Yeouinaru,05호선,527
거여,Geoyeo,05호선,P554
미사,Misa,05호선,555
하남검단산,Hanam Geomdansan,05호선,558
하남시청,Hanam City Hall,05호선,557
마천,Macheon,05호선,P555
개롱,Gaerong,05호선,P553
오금,Ogeum,05호선,P552
올림픽공원,Olympic Park,05호선,P550
둔촌동,Dunchon-dong,05호선,P549
고덕,Godeok,05호선,552
명일,Myeongil,05호선,551
굽은다리,Gubeundari,05호선,550
길동,Gil-dong,05호선,549
강동,Gangdong,05호선,548
광나루,Gwangnaru,05호선,546
군자,Gunja,05호선,544
장한평,Janghanpyeong,05호선,543
마장,Majang,05호선,541
왕십리,Wangsimni,05호선,540
행당,Haengdang,05호선,539
신금호,Singeumho,05호선,538
동대문역사문화공원,Dongdaemun History Culture Park,05호선,536
을지로4가,Euljiro 4(sa)-ga,05호선,535
종로3가,Jongno 3(sam)-ga,05호선,534
광화문,Gwanghwamun,05호선,533
충정로,Chungjeongno,05호선,531
공덕,Gongdeok,05호선,529
신길,Singil,05호선,525
영등포구청,Yeongdeungpo-gu Office,05호선,523
신정,Sinjeong,05호선,519
화곡,Hwagok,05호선,517
우장산,Ujangsan,05호선,516
발산,Balsan,05호선,515
마곡,Magok,05호선,514
방화,Banghwa,05호선,510
서대문,Seodaemun,05호선,532
천호,Cheonho,05호선,547
청구,Cheonggu,05호선,537
오목교,Omokgyo,05호선,521
목동,Mok-dong,05호선,520
송정,Songjeong,05호선,513
개화산,Gaehwasan,05호선,511
까치산,Kkachisan,05호선,518
김포공항,Gimpo Intl. Airport,05호선,512
방이,Bangi,05호선,P551
영등포시장,Yeongdeungpo Market,05호선,524
상일동,Sangil-dong,05호선,553
애오개,Aeogae,05호선,530
양평,Yangpyeong,05호선,522
하남풍산,Hanam Pungsan,05호선,556
답십리,Dapsimni,05호선,542
마포,Mapo,05호선,528
돌곶이,Dolgoji,06호선,643
태릉입구,Taereung,06호선,645
효창공원앞,Hyochang park,06호선,627
청구,Cheonggu,06호선,634
봉화산,Bonghwasan,06호선,647
월드컵경기장,World Cup Stadium,06호선,619
마포구청,Mapo-gu Office,06호선,620
고려대,Korea Univ.,06호선,640
망원,Mangwon,06호선,621
안암,Anam,06호선,639
보문,Bomun,06호선,638
삼각지,Samgakji,06호선,628
녹사평,Noksapyeong,06호선,629
창신,Changsin,06호선,637
이태원,Itaewon,06호선,630
버티고개,Beotigogae,06호선,632
한강진,Hangangjin,06호선,631
동묘앞,Dongmyo,06호선,636
신당,Sindang,06호선,635
약수,Yaksu,06호선,633
불광,Bulgwang,06호선,612
석계,Seokgye,06호선,644
응암,Eungam,06호선,610
화랑대,Hwarangdae,06호선,646
합정,Hapjeong,06호선,622
광흥창,Gwangheungchang,06호선,624
역촌,Yeokchon,06호선,611
독바위,Dokbawi,06호선,613
상월곡,Sangwolgok,06호선,642
상수,Sangsu,06호선,623
신내,Sinnae,06호선,648
공덕,Gongdeok,06호선,626
구산,Gusan,06호선,615
연신내,Yeonsinnae,06호선,614
새절,Saejeol,06호선,616
증산,Jeungsan,06호선,617
디지털미디어시티,Digital Media City,06호선,618
대흥,Daeheung,06호선,625
월곡,Wolgok,06호선,641
남성,Namseong,07호선,737
군자,Gunja,07호선,725
이수,Isu,07호선,736
고속터미널,Express Bus Terminal,07호선,734
논현,Nonhyeon,07호선,732
중곡,Junggok,07호선,724
용마산,Yongmasan,07호선,723
면목,Myeonmok,07호선,721
온수,Onsu,07호선,750
천왕,Cheonwang,07호선,749
철산,Cheolsan,07호선,747
청담,Cheongdam,07호선,729
상봉,Sangbong,07호선,720
학동,Hak-dong,07호선,731
중화,Junghwa,07호선,719
강남구청,Gangnam-gu Office,07호선,730
먹골,Meokgol,07호선,718
태릉입구,Taereung,07호선,717
중계,Junggye,07호선,714
노원,Nowon,07호선,713
석남,Seongnam,07호선,761
산곡,Sangok,07호선,760
부평구청,Bupyeong-gu Office,07호선,759
건대입구,Konkuk Univ.,07호선,727
공릉,Gongneung,07호선,716
하계,Hagye,07호선,715
마들,Madeul,07호선,712
수락산,Suraksan,07호선,711
상동,Sang-dong,07호선,756
부천시청,Bucheon City Hall,07호선,755
신중동,Sinjung-dong,07호선,754
춘의,Chunui,07호선,753
부천종합운동장,Bucheon Stadium,07호선,752
까치울,Kkachiul,07호선,751
신풍,Sinpung,07호선,743
상도,Sangdo,07호선,739
내방,Naebang,07호선,735
도봉산,Dobongsan,07호선,710
장암,Jangam,07호선,709
광명사거리,Gwangmyeongsageori,07호선,748
가산디지털단지,Gasan Digital Complex,07호선,746
반포,Banpo,07호선,733
사가정,Sagajeong,07호선,722
자양,Jayang,07호선,728
남구로,Namguro,07호선,745
대림,Daerim,07호선,744
보라매,Boramae,07호선,742
신대방삼거리,Sindaebang samgeori,07호선,741
굴포천,Gulpocheon,07호선,758
삼산체육관,Samsan Gymnasium,07호선,757
장승배기,Jangseungbaegi,07호선,740
어린이대공원,Children`s Grand Park,07호선,726
숭실대입구,Soongsil Univ.,07호선,738
문정,Munjeong,08호선,818
송파,Songpa,08호선,816
복정,Bokjeong,08호선,820
암사,Amsa,08호선,810
구리,Guri,08호선,807
동구릉,Donggureung,08호선,806
별내,Byeollae,08호선,804
장지,Jangji,08호선,819
수진,Sujin,08호선,826
신흥,Sinheung,08호선,825
모란,Moran,08호선,827
남한산성입구,Namhansanseong,08호선,823
강동구청,Gangdong-gu Office,08호선,812
몽촌토성,Mongchontoseong,08호선,813
장자호수공원,Jangja Lake Park,08호선,808
잠실,Jamsil,08호선,814
단대오거리,Dandaeogeori,08호선,824
석촌,Seokchon,08호선,815
산성,Sanseong,08호선,822
남위례,Namwirye,08호선,821
암사역사공원,Amsa History Park,08호선,809
가락시장,Garak Market,08호선,817
천호,Cheonho,08호선,811
다산,Dasan,08호선,805
개화,Gaehwa,09호선,901
송파나루,Songpanaru,09호선,934
석촌,Seokchon(Hansol Hospital),09호선,933
석촌고분,Seokchon Gobun,09호선,932
삼전,Samjeon,09호선,931
고속터미널,Express Bus Terminal,09호선,923
종합운동장,Sports Complex,09호선,930
봉은사,Bongeunsa,09호선,929
증미,Jeungmi,09호선,908
삼성중앙,Samseong Jungang,09호선,928
등촌,Deungchon,09호선,909
염창,Yeomchang,09호선,910
신목동,Sinmokdong,09호선,911
국회의사당,National Assembly,09호선,914
여의도,Yeouido,09호선,915
동작,Dongjak,09호선,920
선정릉,Seonjeongneung,09호선,927
당산,Dangsan,09호선,913
선유도,Seonyudo,09호선,912
노량진,Noryangjin,09호선,917
샛강,Saetgang,09호선,916
가양,Gayang,09호선,907
양천향교,Yangcheon Hyanggyo,09호선,906
중앙보훈병원,VHS Medical Center,09호선,938
신반포,Sinbanpo,09호선,922
사평,Sapyeong,09호선,924
둔촌오륜,Dunchon Oryun,09호선,937
올림픽공원,Olympic Park,09호선,936
노들,Nodeul,09호선,918
한성백제,Hanseong Baekje,09호선,935
마곡나루,Magongnaru,09호선,905
신논현,Sinnonhyeon,09호선,925
언주,Eonju,09호선,926
흑석,Heukseok,09호선,919
구반포,Gubanpo,09호선,921
신방화,Sinbanghwa,09호선,904
공항시장,Airport Market,09호선,903
김포공항,Gimpo Intl. Airport,09호선,902
수서,Suseo,GTX-A,X108
성남,Seongnam,GTX-A,X109
구성,Guseong,GTX-A,X110
동탄,Dongtan,GTX-A,X111
운정중앙,Unjeongjungang,GTX-A,X101
킨텍스,Kintex,GTX-A,X102
대곡,Daegok,GTX-A,X103
연신내,Yeonsinnae,GTX-A,X105
서울,Seoul,GTX-A,X106
곤지암,Gonjiam,경강선,K415
판교,Pangyo,경강선,K409
부발,Bubal,경강선,K418
성남,Seongnam,경강선,K410
이매,Imae,경강선,K411
신둔도예촌,Sindundoyechon,경강선,K416
세종대왕릉,Sejongdaewangneung,경강선,K419
초월,Chowol,경강선,K414
여주,Yeoju,경강선,K420
경기광주,GyeonggiGwangju,경강선,K413
삼동,Samdong,경강선,K412
이천,Icheon,경강선,K417
이촌,Ichon,경의중앙선,K111
상봉,Sangbong,경의중앙선,K120
양원,Yangwon,경의중앙선,K122
신촌,Sinchon,경의선,P312
금릉,Geum neung,경의중앙선,K330
임진강,Imjingang,경의중앙선,K337
도농,Donong,경의중앙선,K124
양정,Yangjeong,경의중앙선,K125
양평,Yangpyeong,경의중앙선,K135
금촌,Geumchon,경의중앙선,K331
오빈,Obin,경의중앙선,K134
아신,Asin,경의중앙선,K133
국수,Guksu,경의중앙선,K132
양수,Yangsu,경의중앙선,K130
운길산,Ungilsan,경의중앙선,K129
덕소,Deokso,경의중앙선,K126
중랑,Jungnang,경의중앙선,K119
도심,Dosim,경의중앙선,K127
용산,Yongsan,경의중앙선,K110
한국항공대,Korea Aerospace Univ.,경의중앙선,K318
서빙고,Seobinggo,경의중앙선,K112
능곡,Neunggok,경의중앙선,K321
대곡,Daegok,경의중앙선,K322
수색,Susaek,경의중앙선,K317
왕십리,Wangsimni,경의중앙선,K116
운천,Uncheon,경의중앙선,K336
파주,Paju,경의중앙선,K334
월롱,Wollong,경의중앙선,K333
일산,Ilsan,경의중앙선,K326
행신,Haengsin,경의중앙선,K320
지평,Jipyeong,경의중앙선,K138
신원,Sinwon,경의중앙선,K131
홍대입구,Hongik Univ.,경의중앙선,K314
용문,Yongmun,경의중앙선,K137
팔당,Paldang,경의중앙선,K128
회기,Hoegi,경의중앙선,K118
응봉,Eungbong,경의중앙선,K115
옥수,Oksu,경의중앙선,K114
문산,Munsan,경의중앙선,K335
운정,Unjeong,경의중앙선,K329
야당,Yadang,경의중앙선,K328
탄현,Tanhyeon,경의중앙선,K327
풍산,Pungsan,경의중앙선,K325
백마,Baengma,경의중앙선,K324
곡산,Goksan,경의중앙선,K323
강매,Gangmae,경의중앙선,K319
디지털미디어시티,Digital Media City,경의중앙선,K316
가좌,Gajwa,경의중앙선,K315
서강대,Sogang Univ.,경의중앙선,K313
청량리,Cheongnyangni,경의중앙선,K117
망우,Mangu,경의중앙선,K121
효창공원앞,Hyochang Park,경의중앙선,K826
서울역,Seoul Station,경의선,P313
구리,Guri,경의중앙선,K123
공덕,Gongdeok,경의중앙선,K312
원덕,Wondeok,경의중앙선,K136
한남,Hannam,경의중앙선,K113
김유정,Gimyujeong,경춘선,P138
강촌,Gangchon,경춘선,P137
백양리,Baegyang-ri,경춘선,P136
신내,Sinnae,경춘선,P122
가평,Gapyeong,경춘선,P134
퇴계원,Toegyewon,경춘선,P125
금곡,Geumgok,경춘선,P127
사릉,Sareung,경춘선,P126
갈매,Galmae,경춘선,P123
대성리,Daeseong-ri,경춘선,P131
굴봉산,Gulbongsan,경춘선,P135
마석,Maseok,경춘선,P130
남춘천,Namchuncheon,경춘선,P139
춘천,Chuncheon,경춘선,P140
